participant_id,age,sex,hand
sub-LTP093,,,
sub-LTP106,,,
sub-LTP115,,,
sub-LTP117,,,
sub-LTP122,,,
sub-LTP123,,,
sub-LTP133,,,
sub-LTP138,29.0,F,R
sub-LTP187,19.0,M,R
sub-LTP207,,,
sub-LTP210,26.0,F,R
sub-LTP228,25.0,M,R
sub-LTP229,,,
sub-LTP236,,,
sub-LTP242,,,
sub-LTP246,,,
sub-LTP249,,,
sub-LTP250,,,
sub-LTP251,19.0,M,R
sub-LTP258,,,
sub-LTP259,,,
sub-LTP260,,,
sub-LTP265,30.0,F,R
sub-LTP269,,,
sub-LTP273,,,
sub-LTP274,21.0,M,R
sub-LTP278,19.0,M,R
sub-LTP279,,,
sub-LTP280,20.0,M,R
sub-LTP281,24.0,F,R
sub-LTP283,,,
sub-LTP285,,,
sub-LTP287,,,
sub-LTP290,22.0,F,R
sub-LTP293,,,
sub-LTP295,,,
sub-LTP296,22.0,M,R
sub-LTP297,,,
sub-LTP298,22.0,F,R
sub-LTP299,27.0,M,R
sub-LTP300,19.0,M,R
sub-LTP301,24.0,M,R
sub-LTP302,21.0,M,R
sub-LTP303,17.0,M,R
sub-LTP304,28.0,F,R
sub-LTP305,24.0,F,R
sub-LTP306,20.0,F,R
sub-LTP307,22.0,F,R
sub-LTP308,19.0,F,R
sub-LTP309,20.0,F,R
sub-LTP310,21.0,,R
sub-LTP311,19.0,M,R
sub-LTP312,,,
sub-LTP313,18.0,F,R
sub-LTP314,20.0,M,R
sub-LTP315,19.0,F,R
sub-LTP316,19.0,,R
sub-LTP317,23.0,M,R
sub-LTP318,19.0,F,R
sub-LTP319,21.0,,R
sub-LTP320,22.0,,R
sub-LTP321,,,
sub-LTP322,26.0,M,R
sub-LTP323,18.0,F,R
sub-LTP324,20.0,,R
sub-LTP325,20.0,,R
sub-LTP326,23.0,F,R
sub-LTP327,18.0,M,R
sub-LTP328,18.0,F,R
sub-LTP329,,,
sub-LTP330,24.0,F,R
sub-LTP331,,,
sub-LTP334,18.0,F,R
sub-LTP336,18.0,F,R
sub-LTP337,18.0,F,R
sub-LTP338,18.0,F,R
sub-LTP339,18.0,F,R
sub-LTP340,22.0,F,R
sub-LTP341,19.0,F,R
sub-LTP342,,,
sub-LTP343,18.0,M,R
sub-LTP344,21.0,M,R
sub-LTP346,18.0,M,R
sub-LTP347,19.0,M,R
sub-LTP348,21.0,F,R
sub-LTP349,18.0,M,R
sub-LTP352,19.0,F,R
sub-LTP353,19.0,M,R
sub-LTP354,,,
sub-LTP355,20.0,F,R
sub-LTP356,,,
sub-LTP357,,,
sub-LTP358,18.0,F,R
sub-LTP359,23.0,F,R
sub-LTP360,19.0,,R
sub-LTP361,,,
sub-LTP362,18.0,M,R
sub-LTP363,24.0,F,R
sub-LTP364,20.0,F,R
sub-LTP365,20.0,M,R
sub-LTP366,19.0,M,R
sub-LTP367,22.0,F,R
sub-LTP368,19.0,M,R
sub-LTP369,18.0,M,R
sub-LTP370,19.0,F,R
sub-LTP371,19.0,F,R
sub-LTP372,18.0,F,R
sub-LTP373,24.0,M,R
sub-LTP374,18.0,M,R
sub-LTP375,18.0,F,R
sub-LTP376,19.0,F,R
sub-LTP377,20.0,M,R
sub-LTP378,26.0,F,R
sub-LTP379,28.0,M,R
sub-LTP381,25.0,M,R
sub-LTP382,22.0,M,R
sub-LTP383,20.0,F,R
sub-LTP384,25.0,F,R
sub-LTP385,23.0,M,R
sub-LTP386,20.0,F,R
sub-LTP387,20.0,F,R
sub-LTP388,19.0,F,R
sub-LTP389,27.0,M,R
sub-LTP390,19.0,M,R
sub-LTP391,21.0,F,R
sub-LTP392,19.0,,R
sub-LTP393,19.0,M,R
