"","2.5 %","97.5 %"
"(Intercept)",7.35606772616631,7.47664456134168
"psim",-0.105186488051052,0.0317839375227271
"ssim",-0.142293867453689,-0.110515504189822
"abs_lag",0.0538781563395144,0.0556750926710195
"outpos",0.0402730662869242,0.0410728720388068
"ncr",-0.0262360825015942,-0.0251157477299024
"len_ph",0.0274840036532212,0.0308689795938694
"exp_typescalp",-0.349518050831165,-0.174391980041172
"psim:ssim",-0.223377782393237,-0.056717689526074
"psim:abs_lag",-0.0209398542931129,-0.0147148859698167
"ssim:abs_lag",-0.0185012476556692,-0.0145672602403334
"psim:exp_typescalp",-0.0131799161840936,0.113581963178013
