"","(Intercept)","pcs_H","scs","tcs"
"LTP093",0.180234968576698,0.0327179400488045,0.0327850735551443,-0.369176613453773
"LTP106",0.425052084201037,0.0375347853882812,0.0621616403146626,-0.266840623250692
"LTP115",0.194974453596237,0.0109049634169823,0.019080146091645,-0.0223375666132841
"LTP117",0.0616905425953795,-0.0253939696143627,-0.00723489271195756,0.1842370423941
"LTP122",0.486878631114554,-0.0146787809441439,0.0108978318458847,-0.178447256832195
"LTP123",0.0908813107154988,-0.0229095007955853,-0.0221328781095119,-0.00486515816769414
"LTP133",-0.0108235554222554,-0.03814985367082,-0.0109792346499359,-0.0347967497009211
"LTP138",0.280017361458321,0.0222829575932009,0.0385221888734554,-0.22838392624532
"LTP187",0.00819396754590576,0.0140989594281628,0.0161368493953331,-0.224787094355275
"LTP207",-0.131627673231455,-0.0309734327034745,-0.00676452979594034,-0.0853005490516567
"LTP210",-0.125147609238032,-0.00243154498021781,-0.0253112967590781,-0.14778979983737
"LTP228",-0.132036025519333,0.0203671977309071,0.0152400779212452,-0.172563662147111
"LTP229",0.0132428484243475,0.00460742419321099,-0.028912602939627,-0.20493707323424
"LTP236",0.38151562934142,0.0232407174340704,0.0451635198380853,-0.360583351748906
"LTP242",-0.131738221438841,0.00311290104101665,-0.0134395966342892,-0.145563646206211
"LTP246",-0.571101461235688,-0.0192181957300253,-0.0300491419766136,0.826136652874313
"LTP249",-0.207897205333251,-0.0198678696902347,-0.0424583300370444,0.224071830585451
"LTP250",0.104754777830701,-0.00625056202714658,-0.00898887583005676,-0.370999549585462
"LTP251",0.329100429894239,0.0512347601373099,0.0703397772886539,-0.440526911791329
"LTP258",-0.107273411170339,-0.0199358795841011,-0.0169832670502484,0.241398415829403
"LTP259",0.344695977554888,0.0631132502089338,0.071715227641243,-0.370876809698747
"LTP260",0.586409631706395,-0.0134776069662067,0.00543932435651086,-0.329372460896813
"LTP265",-0.324680227287973,-0.0907082547140441,-0.110865069632207,0.659567567042538
"LTP269",0.0572078004870154,0.00291848895353255,0.0156756465354009,-0.103559492431862
"LTP273",-0.139418410879216,0.00733810770442062,-0.0286718921318938,-0.0682352261011644
"LTP274",0.0453452478140457,-0.00837632361397304,-0.00805985901512367,-0.286643548334205
"LTP278",-0.0953198738844736,0.0128689914238174,-0.00969049742472269,-0.160226662739874
"LTP279",0.275529014189193,-0.0230523454653719,0.0077858859135739,-0.265391393762873
"LTP280",0.0425224904199701,-0.012879238629251,-0.0277135936811218,-0.24513909175596
"LTP281",-0.110360198488045,-0.00487212853753778,-0.0216612837448146,-0.076513966541025
"LTP283",0.203816403060126,-0.0476857113938401,-0.0216538144937883,-0.0159632697966327
"LTP285",0.171200509761378,0.0241083890631985,0.0219016130976536,-0.195556097822101
"LTP287",-0.166715268867192,0.023499719532523,0.00401603471975697,-0.0931820314811577
"LTP290",-0.190482256016377,-0.0448460274813974,-0.0481869695526974,0.119846002089654
"LTP293",0.0799830215401934,-0.0106267374404753,-0.0102178114215124,-0.0556439894167161
"LTP295",0.368620216703907,0.0370974313220659,0.0567982556838319,-0.0219133656884143
"LTP296",-0.016473700034083,0.00467821399386551,-0.00181191156327331,-0.0697362309790417
"LTP297",-0.172547695859982,-0.0160593102418664,-0.00591931600066438,0.218900838517241
"LTP298",-0.385229195676934,-0.0612399462357716,-0.0945459326239654,0.504504383798515
"LTP299",0.0605430425848679,-0.0011360460260874,0.0303702926200875,-0.111873437467196
"LTP300",-0.131105156709067,-2.21841096747256e-05,-0.00868409852709446,0.1910848308774
"LTP301",-0.14062951775213,0.0141607447078195,-0.0235660311713245,-0.124689730013339
"LTP302",-0.0590769131318238,-0.0272416989035822,-0.0215206970308268,-0.00799895680681513
"LTP303",-0.891347684037703,-0.062783195485777,-0.0987852339450504,1.27998015157249
"LTP304",0.0565613843155667,0.0737370700554945,0.0458293678181797,0.0242998406834228
"LTP305",0.037236699248014,0.00479839557910737,0.0214065046768399,-0.360827563895997
"LTP306",-0.102135907195451,-0.0242704408552307,-0.00551040079939201,0.328524795461982
"LTP307",0.085940583469283,0.00822622489202532,-0.0067429139894052,0.142334315588611
"LTP308",-0.0629575328778186,-0.00139843969893489,-0.00212705083033894,-0.00360536545826466
"LTP309",-0.0695637749007836,0.00096083564637159,-0.00834231814877043,-0.125960753186803
"LTP310",0.245033480701236,0.0819833482238009,0.0541036529378478,-0.167035255748536
"LTP311",-0.085464768719826,-0.0328862061112896,-0.0356794612350754,0.277249169709707
"LTP312",-0.146190967670834,0.00266723368124028,-0.000265227422628431,0.0246327899524868
"LTP313",0.0738205996423422,-0.0449456522211266,-0.0280211376083054,0.0360309062818493
"LTP314",-0.0892869486430957,0.00329757151965994,0.00553902189745745,-0.121428489413384
"LTP315",0.0569921579770474,0.00767410966175438,0.0161565016656586,-0.242078448436547
"LTP316",0.00995972495685465,0.000130845189982214,0.0291613463706688,0.221200995202616
"LTP317",-0.0665579284450985,-0.00815847882802316,-0.01456159696187,-0.119735134635707
"LTP318",0.0895675834481048,-0.0259007777535836,0.0111875165689344,-0.062192125492886
"LTP319",0.181300882577536,0.000727765671526484,0.0165286188869114,-0.29206697456214
"LTP320",-0.0192339621310722,0.00897913040641821,0.00192492141019554,-0.0885656133653401
"LTP321",-0.0466367805582158,0.0157005359855214,0.02607229339008,-0.120824013397492
"LTP322",0.136708246000871,-0.00147227235524669,-0.0413669721868122,-0.0415420960580897
"LTP323",0.475258840896229,0.0178420407425959,0.0360295343605603,-0.370835663255273
"LTP324",-0.402165469078064,-0.0206288199324066,-0.0208940749837005,0.507297493073222
"LTP325",-0.0198937688391206,0.00811605329793057,0.00294613900167031,-0.0618388497859121
"LTP326",0.00598139146533586,0.045185078756895,0.0631398016606469,-0.034848023492823
"LTP327",0.465477744714928,0.00134727491553624,0.00301777403680895,-0.168275819932665
"LTP328",-0.0591721430468897,0.0217919342353198,0.0142183873308993,0.23383127691345
"LTP329",-0.0155557334436415,-0.0232721869654656,-0.0088564499026225,-0.0135003451595087
"LTP330",0.134739320555088,0.0357806399419785,0.0345688125551915,-0.223771693064874
"LTP331",-0.62938834244772,-0.0869792789431125,-0.11260321391213,1.02784958013136
"LTP334",0.293195096823544,0.0216978952601232,0.0314034997492576,-0.27795082718452
"LTP336",0.0581394223827072,0.00569858678404623,-0.00250970829777965,-0.211430761068666
"LTP337",-0.175752150995678,-0.033363756597562,-0.0360667328632523,0.160335077789367
"LTP338",-0.0875183599680627,-0.0100166034526409,-0.0346601331058144,0.00714616628019785
"LTP339",-0.0950784186313787,0.0158245185670445,-0.0120509647399125,-0.0910111677464911
"LTP340",-0.0173616770524459,0.0169851880314703,-0.0172545997212328,-0.295859989341866
"LTP341",0.00437710443981727,-0.00649014224843135,-0.0243192374172161,0.0924842169744455
"LTP342",-0.112969392950544,-0.0185724389041046,-0.0168348047425802,0.399389928165342
"LTP343",0.204914190239498,0.00509786234202915,0.014750009212018,-0.396006578156301
"LTP344",-0.0555431901623699,0.0180193702056605,0.0234934027496397,0.0485669347529026
"LTP346",-0.36056250846392,-0.0258707709654576,-0.0309213630132438,0.743560843841361
"LTP347",-0.265096459379685,0.0248775544703646,-0.00861367713741707,0.570895108846283
"LTP348",-0.148089698973086,-0.00332074751269764,-0.0258326664417327,-0.125677998621077
"LTP349",0.0692324831147788,-0.00919525314957522,0.00777632684643294,-0.246546784575889
"LTP352",0.0426465589237782,-0.00669839294795922,0.00292149741448697,0.0735107628482653
"LTP353",-0.052324389250532,0.00149953456162092,-0.0132629472375515,-0.197919890857857
"LTP354",-0.0635974114677206,-0.037789181922578,-0.0520445840492187,-0.054604192466668
"LTP355",0.0328349769650377,0.0175735249091962,0.0299468437790723,0.07065086368856
"LTP356",-0.46361026764693,-0.0317854079401002,-0.0445240754761991,0.910275264715845
"LTP357",-0.0267192518718841,-0.00865656112152339,-0.00136187956262273,-0.0146888527498656
"LTP358",0.235829306554905,0.0667826117627315,0.0823347785328724,-0.220414966086211
"LTP359",-0.115939685102579,-0.0145394033543482,0.00582900952848484,0.434945804280644
"LTP360",0.0564255046719771,-0.0020541734408056,0.00845315456586141,-0.304959798408853
"LTP361",0.0725656202283439,-0.00694009646378911,0.000582850414490237,0.109624322254106
"LTP362",-0.0901734846866548,0.0190858270651947,0.000798206503935726,-0.156342713205751
"LTP363",0.0584423344693204,0.0214304577344078,0.0292910243455098,-0.133119680459748
"LTP364",-0.21917942444831,-0.0560748792672619,-0.0594764624693727,0.252478375505959
"LTP365",0.175930546178136,0.0424491361740762,0.0608839493290348,-0.13596530384137
"LTP366",-0.0484124189486403,0.0162771834022952,0.00624777441722157,-0.0707037904134819
"LTP367",-0.372649797248608,-0.0862701930219506,-0.0839862368538052,0.798687670739689
"LTP368",0.0526820000854223,0.0133671566197861,0.0111287770998083,-0.0869567823033024
"LTP369",-0.072809856354764,-0.0203211988538657,-0.0276810021843866,0.51119879493439
"LTP370",0.144279446705801,-0.00163988369634694,0.00697035488554831,-0.129569021650836
"LTP371",0.00519839951796283,-0.00581522696610585,0.0071522862181404,0.324635331084313
"LTP372",-0.233145382941167,0.00662195636970449,-0.00117181580489364,0.498002321643248
"LTP373",0.114911480379252,0.0141614445136659,0.0291937322451472,-0.169653601755699
"LTP374",0.247565350641212,0.0540016568912431,0.0792313583406298,-0.163380610179871
"LTP375",0.111161213029206,-0.000464876310113569,0.00994810677091917,0.132150919300747
"LTP376",-0.0225216001497844,0.00691557660797509,0.0161502705372082,-0.241685399316025
"LTP377",-0.220804129443797,-0.00606749756984808,-0.00469017314218273,0.153382816954776
"LTP378",-0.100436387158698,-0.00681403248633288,-0.0345190084169475,-0.0638843860560267
"LTP379",-0.0132182927906468,-0.00900151543161991,-0.00286769821792025,0.465766769266702
"LTP381",0.0806381570151184,0.0229513875294277,0.0315835506582377,-0.281210243174659
"LTP382",-0.0844591428342902,-0.0193857264176761,-0.0205716928801625,-0.0893576427483426
"LTP383",-0.0656477495828165,0.00974067533695823,0.00941736294456539,-0.14610304356105
"LTP384",0.0393391729453183,0.000887458996508139,-0.00953511464518944,0.161100825283469
"LTP385",0.077213121602921,-0.025792253550103,-0.0237695853656765,-0.224254961704356
"LTP386",0.00222398645678201,0.0232379162790088,0.008212503854811,-0.264910633856773
"LTP387",0.450371997898867,0.026730729554689,0.0453458892902817,-0.402827774799121
"LTP388",-0.0598666845186608,-0.00246565011308174,0.00365740962871393,0.282687021545485
"LTP389",0.186000325702394,0.0189853416357558,0.0517538040866751,-0.121754984288169
"LTP390",-0.0771144130792484,0.0280488849766535,0.00304622597081053,-0.191694390532859
"LTP391",0.181975322077211,0.0776057127065774,0.103432960210595,-0.164679221481429
"LTP392",-0.0483560205928751,0.00188646348089996,-0.00245169472691665,-0.0762841483533714
"LTP393",-0.0208891827221096,0.00286111796408766,0.00396083471095736,-0.243697357791263
